PlayerID,Age,Gender,Location,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,Male,Other,79,25,Medium
9001,29,Female,USA,11,10,Medium
9002,22,Female,USA,35,41,High
9003,35,Male,USA,57,47,Medium
9004,33,Male,Europe,95,37,Medium
9005,37,Male,Europe,74,22,Low
9006,25,Male,USA,13,2,Low
9007,25,Female,Asia,27,23,Medium
9008,38,Female,Europe,23,41,Medium
9009,38,Female,Other,99,36,High
9010,17,Male,USA,14,12,High
9011,36,Female,Asia,62,31,High
9012,16,Male,USA,52,32,High
9013,38,Female,USA,33,47,Low
9014,44,Male,USA,98,1,Low
9015,16,Male,Europe,58,24,High
9016,35,Male,Asia,62,4,High
9017,47,Male,USA,13,9,Low
9018,26,Female,Asia,77,25,Medium
9019,36,Female,Asia,21,30,Low
9020,39,Female,USA,34,37,Medium
9021,41,Female,USA,36,33,High
9022,42,Male,USA,81,5,Low
9023,30,Male,Europe,40,19,High
9024,29,Male,Europe,1,22,High
9025,17,Female,USA,1,7,Medium
9026,21,Male,USA,71,26,High
9027,35,Male,USA,59,18,High
9028,23,Male,Europe,2,1,Medium
9029,32,Female,USA,85,37,Low
9030,18,Female,Asia,35,2,Low
9031,39,Male,USA,50,11,Medium
9032,28,Female,Europe,48,48,Low
9033,23,Male,USA,62,42,Medium
9034,40,Male,USA,24,18,Low
9035,16,Female,USA,24,17,High
9036,34,Male,Europe,79,41,Medium
9037,42,Male,USA,26,26,Medium
9038,21,Female,Europe,14,0,Medium
9039,22,Female,Europe,52,44,Medium
9040,49,Female,Europe,93,29,Medium
9041,28,Male,Other,76,35,Medium
9042,31,Male,USA,88,39,Medium
9043,18,Male,Other,98,7,Medium
9044,16,Female,Europe,10,34,High
9045,20,Male,Asia,34,46,Medium
9046,18,Male,USA,45,43,High
9047,43,Male,USA,73,49,Low
9048,32,Female,USA,51,38,High
9049,40,Male,Europe,31,13,Medium
9050,48,Male,Other,22,32,Medium
9051,24,Male,USA,19,21,High
9052,28,Male,Europe,64,25,Medium
9053,45,Male,Europe,95,26,Low
9054,29,Male,Europe,6,16,High
9055,22,Female,USA,8,0,Medium
9056,28,Male,USA,20,1,Medium
9057,37,Male,USA,88,36,Medium
9058,35,Male,USA,73,43,High
9059,30,Female,USA,46,19,Medium
9060,32,Male,USA,27,13,High
9061,38,Female,USA,35,30,High
9062,40,Female,Europe,76,42,Medium
9063,39,Male,Other,10,16,High
9064,43,Male,Other,38,43,Low
9065,29,Female,USA,80,43,High
9066,15,Female,USA,58,42,Medium
9067,39,Female,Other,26,47,Medium
9068,21,Female,Europe,3,40,Medium
9069,23,Male,Other,72,24,High
9070,38,Female,Europe,29,32,Medium
9071,15,Male,Asia,45,2,Medium
9072,22,Male,Europe,46,32,Medium
9073,38,Female,Europe,12,37,High
9074,25,Male,Europe,91,48,High
9075,31,Male,USA,23,1,High
9076,22,Male,Asia,9,30,Low
9077,49,Male,USA,15,4,Low
9078,49,Female,USA,33,33,Medium
9079,47,Male,Asia,15,25,Low
9080,19,Female,Europe,24,0,Low
9081,42,Male,USA,14,15,Medium
9082,21,Male,USA,40,38,Medium
9083,23,Male,USA,73,10,Medium
9084,22,Male,USA,14,24,High
9085,26,Male,USA,4,49,Medium
9086,48,Female,Asia,89,24,Medium
9087,47,Male,Europe,78,4,Low
9088,37,Male,USA,40,49,High
9089,38,Male,Europe,11,7,Medium
9090,49,Male,USA,59,35,Medium
9091,36,Male,USA,76,15,Low
9092,41,Female,Europe,77,28,Low
9093,49,Male,Asia,80,42,Low
9094,15,Male,Asia,33,42,Low
9095,49,Male,Europe,3,14,High
9096,28,Male,USA,61,39,Low
9097,17,Male,Europe,1,11,Medium
9098,15,Female,Europe,54,37,Medium
9099,19,Female,USA,65,42,High
9100,40,Male,Europe,89,29,Medium
9101,28,Female,Europe,53,18,Medium
9102,41,Male,Europe,54,33,Low
9103,23,Female,Europe,38,14,Medium
9104,29,Female,Other,22,36,Medium
9105,29,Male,Europe,73,45,High
9106,40,Male,Asia,56,17,Medium
9107,27,Male,Other,45,48,Medium
9108,46,Male,Asia,75,32,Medium
9109,46,Male,Other,2,21,Medium
9110,18,Female,Asia,10,35,High
9111,44,Male,USA,5,30,Medium
9112,37,Male,USA,88,15,High
9113,29,Female,USA,72,44,Low
9114,43,Female,USA,42,47,High
9115,27,Male,USA,34,9,High
9116,46,Female,Asia,24,18,High
9117,21,Female,USA,12,20,High
9118,36,Male,Asia,52,14,Low
9119,42,Male,Other,23,19,Medium
9120,16,Female,USA,48,14,High
9121,20,Female,USA,69,25,Medium
9122,42,Male,Asia,19,43,Low
9123,42,Male,USA,77,35,Medium
