SessionID,PlayerID,PlayTimeHours,InGamePurchases,SessionsPerWeek,AvgSessionDurationMinutes,GameGenre,GameDifficulty
1,9000,16.27,False,6,108,Strategy,Medium
2,9001,5.53,False,5,144,Strategy,Medium
3,9002,8.22,False,16,142,Sports,Easy
4,9003,5.27,True,9,85,Action,Easy
5,9004,15.53,False,2,131,Action,Medium
6,9005,20.56,False,2,81,RPG,Easy
7,9006,9.75,False,1,50,Action,Hard
8,9007,4.4,False,10,48,RPG,Medium
9,9008,18.15,False,5,101,Simulation,Easy
10,9009,23.94,False,13,95,Sports,Easy
11,9010,4.83,False,8,95,Strategy,Hard
12,9011,5.54,True,16,124,Simulation,Easy
13,9012,18.78,True,9,18,Sports,Easy
14,9013,8.7,False,0,156,Strategy,Easy
15,9014,17.98,False,8,41,Simulation,Easy
16,9015,7.95,False,10,156,RPG,Medium
17,9016,17.89,False,16,154,Strategy,Easy
18,9017,17.27,False,2,131,RPG,Medium
19,9018,19.42,False,3,135,Action,Easy
20,9019,19.34,False,4,56,RPG,Easy
21,9020,1.72,False,2,177,Sports,Easy
22,9021,16.17,False,18,159,Sports,Easy
23,9022,10.45,False,2,120,Sports,Medium
24,9023,17.96,False,14,117,Strategy,Easy
25,9024,22.56,False,12,161,Sports,Medium
26,9025,10.31,False,4,82,Sports,Hard
27,9026,4.9,False,12,118,Strategy,Medium
28,9027,14.59,False,18,177,Sports,Easy
29,9028,3.22,False,14,57,Simulation,Easy
30,9029,4.13,False,1,155,Sports,Easy
31,9030,22.86,False,3,67,Simulation,Easy
32,9031,3.37,True,5,70,Sports,Easy
33,9032,14.53,False,0,127,Action,Hard
34,9033,18.96,False,19,48,Simulation,Hard
35,9034,11.73,False,0,120,Strategy,Hard
36,9035,17.49,False,18,166,RPG,Medium
37,9036,13.78,False,19,28,Action,Hard
38,9037,23.96,False,17,61,Strategy,Medium
39,9038,1.91,False,11,112,Action,Medium
40,9039,5.56,False,3,116,Sports,Hard
41,9040,13.71,True,15,43,Strategy,Medium
42,9041,12.28,False,4,151,RPG,Medium
43,9042,2.24,False,15,68,Action,Medium
44,9043,13.15,False,12,115,RPG,Medium
45,9044,2.62,False,14,149,Action,Easy
46,9045,16.59,False,19,65,RPG,Medium
47,9046,15.65,False,17,176,RPG,Easy
48,9047,1.6,False,3,31,Strategy,Medium
49,9048,11.2,False,19,77,Sports,Easy
50,9049,17.07,False,8,94,Sports,Hard
51,9050,19.22,False,3,146,RPG,Hard
52,9051,0.87,False,8,45,Sports,Medium
53,9052,11.22,False,8,134,Simulation,Easy
54,9053,23.7,True,1,50,Simulation,Easy
55,9054,9.21,True,15,171,RPG,Easy
56,9055,12.82,True,8,46,RPG,Easy
57,9056,7.18,False,8,139,Simulation,Easy
58,9057,1.32,True,15,36,Simulation,Easy
59,9058,21.69,False,15,148,Simulation,Easy
60,9059,15.15,False,9,153,Strategy,Easy
61,9060,12.56,False,11,138,Action,Hard
62,9061,19.46,False,19,155,Strategy,Medium
63,9062,3.53,False,2,94,Simulation,Easy
64,9063,20.86,False,16,140,Action,Hard
65,9064,14.63,False,1,16,Sports,Easy
66,9065,17.0,True,16,135,Simulation,Easy
67,9066,14.9,False,6,49,Simulation,Easy
68,9067,19.75,False,7,46,Sports,Medium
69,9068,19.03,False,13,30,Action,Easy
70,9069,13.72,True,17,167,Simulation,Medium
71,9070,20.16,False,13,79,Action,Easy
72,9071,18.85,False,7,111,Strategy,Medium
73,9072,12.08,True,7,79,RPG,Easy
74,9073,2.26,False,12,131,Strategy,Medium
75,9074,20.81,True,19,109,RPG,Easy
76,9075,9.01,False,14,106,Simulation,Easy
77,9076,19.66,True,3,29,Strategy,Medium
78,9077,18.54,True,0,83,Strategy,Easy
79,9078,2.04,True,12,70,Sports,Easy
80,9079,6.53,False,10,14,RPG,Easy
81,9080,19.86,True,1,139,RPG,Easy
82,9081,13.98,False,12,34,Simulation,Medium
83,9082,7.74,False,5,77,Sports,Easy
84,9083,3.8,True,12,41,Sports,Easy
85,9084,10.39,False,19,102,RPG,Easy
86,9085,15.07,False,4,117,Sports,Medium
87,9086,8.46,True,3,122,Action,Easy
88,9087,14.43,False,18,14,Simulation,Hard
89,9088,19.5,False,11,147,Strategy,Medium
90,9089,6.5,True,8,107,RPG,Medium
91,9090,2.15,False,14,36,Sports,Medium
92,9091,4.31,False,1,73,Sports,Easy
93,9092,5.69,True,7,12,Sports,Easy
94,9093,3.11,False,0,99,Simulation,Easy
95,9094,9.74,True,4,32,Strategy,Hard
96,9095,7.84,False,19,126,Sports,Easy
97,9096,9.21,True,1,84,Strategy,Medium
98,9097,8.64,False,3,117,Strategy,Easy
99,9098,5.97,False,11,55,Simulation,Easy
100,9099,15.38,False,14,93,Sports,Hard
101,9100,5.81,False,5,40,Sports,Medium
102,9101,22.35,False,11,109,Strategy,Hard
103,9102,7.65,False,2,33,Sports,Easy
104,9103,22.88,False,8,91,Simulation,Medium
105,9104,4.56,False,16,36,Sports,Easy
106,9105,2.07,True,15,101,Sports,Easy
107,9106,7.38,False,15,24,Sports,Easy
108,9107,7.73,False,17,72,Simulation,Hard
109,9108,19.4,True,9,127,Strategy,Medium
110,9109,18.55,False,12,96,Strategy,Easy
111,9110,4.46,False,16,121,Sports,Easy
112,9111,22.14,False,7,60,Simulation,Hard
113,9112,8.5,False,18,145,Sports,Medium
114,9113,23.69,False,3,51,Simulation,Medium
115,9114,23.17,False,14,96,Simulation,Easy
116,9115,6.55,False,18,111,Strategy,Hard
117,9116,10.83,False,12,142,Action,Medium
118,9117,20.28,True,17,142,Action,Easy
119,9118,7.25,False,3,69,RPG,Easy
120,9119,10.78,False,7,154,RPG,Medium
121,9120,4.62,True,17,149,Action,Easy
122,9121,11.93,False,11,75,Strategy,Medium
123,9122,6.57,False,15,17,RPG,Hard
124,9123,2.73,False,17,62,Action,Medium
125,9124,16.59,False,13,124,Strategy,Medium
126,9125,8.58,False,11,34,RPG,Medium
127,9126,12.76,False,7,108,RPG,Medium
128,9127,13.3,False,19,157,Action,Easy
129,9128,14.17,False,15,108,RPG,Easy
130,9129,18.49,False,2,65,Strategy,Easy
131,9130,17.22,True,5,94,Action,Hard
132,9131,18.22,False,1,70,Strategy,Medium
133,9132,19.49,False,16,154,RPG,Medium
134,9133,9.48,False,7,78,Strategy,Medium
135,9134,19.05,False,18,14,Sports,Easy
136,9135,8.61,True,13,21,Simulation,Hard
137,9136,9.99,False,1,124,RPG,Easy
138,9137,21.66,False,7,45,Sports,Easy
139,9138,16.21,False,6,62,Simulation,Medium
140,9139,5.99,True,7,43,Action,Medium
141,9140,15.97,False,1,69,Simulation,Easy
142,9141,3.68,False,19,42,Action,Easy
143,9142,6.25,True,8,103,Sports,Hard
144,9143,1.35,True,3,124,Simulation,Hard
145,9144,16.33,True,16,52,RPG,Hard
146,9145,22.76,True,12,132,Sports,Easy
147,9146,22.4,False,17,105,Simulation,Easy
148,9147,19.39,False,11,27,Strategy,Easy
149,9148,3.84,False,3,159,Strategy,Hard
150,9149,20.26,False,9,19,Action,Easy
151,9150,0.07,False,18,117,Sports,Hard
152,9151,21.99,False,9,138,Strategy,Easy
153,9152,16.9,False,0,140,Simulation,Hard
154,9153,4.2,True,19,70,RPG,Hard
155,9154,13.54,False,8,39,Action,Easy
156,9155,15.05,False,11,92,Simulation,Easy
157,9156,6.44,False,9,50,Action,Easy
158,9157,20.43,False,3,138,Strategy,Medium
159,9158,12.31,True,11,179,Sports,Medium
160,9159,13.55,True,12,135,RPG,Hard
161,9160,21.27,False,18,164,Strategy,Easy
162,9161,15.71,False,11,90,Sports,Easy
163,9162,14.16,False,8,110,RPG,Easy
164,9163,3.02,False,12,103,Sports,Hard
165,9164,13.0,False,0,146,Strategy,Medium
166,9165,21.93,True,10,30,RPG,Medium
167,9166,14.56,False,15,133,Simulation,Medium
168,9167,6.83,False,4,166,Strategy,Hard
169,9168,19.89,False,11,142,Action,Easy
170,9169,10.42,False,13,102,RPG,Medium
171,9170,1.9,False,5,144,Sports,Easy
172,9171,11.6,False,15,67,Strategy,Medium
173,9172,18.28,True,9,105,Sports,Medium
174,9173,22.04,False,4,98,Simulation,Medium
175,9174,15.95,False,14,89,Sports,Medium
176,9175,20.13,False,3,80,Strategy,Medium
177,9176,17.99,True,6,24,RPG,Easy
178,9177,4.37,True,16,31,Strategy,Easy
179,9178,23.62,False,19,105,Action,Hard
180,9179,1.35,False,16,47,Action,Easy
181,9180,6.57,False,18,20,Sports,Easy
182,9181,18.32,False,6,149,Sports,Easy
183,9182,3.22,False,13,50,Strategy,Easy
184,9183,13.63,False,14,10,Sports,Easy
185,9184,15.14,False,9,116,Sports,Easy
186,9185,16.5,False,15,152,Sports,Easy
187,9186,3.86,False,14,128,RPG,Medium
188,9187,4.98,True,16,65,Action,Hard
189,9188,2.97,False,1,71,RPG,Easy
190,9189,4.11,False,12,90,Strategy,Easy
191,9190,19.99,False,16,151,Simulation,Medium
192,9191,2.73,False,4,121,Action,Easy
193,9192,9.63,True,5,48,Strategy,Easy
194,9193,0.37,True,19,55,Sports,Easy
195,9194,18.33,False,9,45,Simulation,Hard
196,9195,22.97,False,10,111,Simulation,Medium
197,9196,7.18,True,2,12,Simulation,Easy
198,9197,7.32,True,6,36,RPG,Hard
199,9198,13.77,True,14,102,Strategy,Easy
200,9199,3.15,False,3,57,RPG,Medium
201,9200,14.45,False,5,175,RPG,Hard
202,9201,13.21,False,13,14,Action,Easy
203,9202,9.58,False,16,84,RPG,Easy
204,9203,16.82,False,5,88,Sports,Medium
205,9204,13.05,False,14,159,Simulation,Easy
206,9205,20.26,False,12,125,Strategy,Easy
207,9206,17.45,False,1,74,RPG,Easy
208,9207,13.93,False,10,103,Strategy,Easy
209,9208,7.61,False,3,33,Action,Easy
210,9209,0.69,True,7,60,Simulation,Medium
211,9210,8.91,False,8,20,Action,Easy
212,9211,18.55,False,2,93,RPG,Medium
213,9212,21.39,False,15,166,Strategy,Easy
214,9213,20.42,False,8,91,Action,Easy
215,9214,8.87,True,1,168,Simulation,Medium
216,9215,0.72,False,19,32,RPG,Easy
217,9216,22.5,True,18,109,RPG,Easy
218,9217,16.41,False,14,118,Simulation,Easy
219,9218,11.51,False,9,76,Action,Easy
220,9219,18.68,False,4,169,Strategy,Easy
221,9220,2.15,False,6,172,Simulation,Easy
222,9221,2.09,False,18,179,Action,Medium
223,9222,16.97,False,10,138,Sports,Medium
224,9223,1.62,False,17,27,Action,Easy
225,9224,1.18,False,4,170,Action,Medium
226,9225,17.29,False,14,150,Sports,Easy
227,9226,17.79,False,3,118,Simulation,Easy
228,9227,9.91,False,1,82,Simulation,Medium
229,9228,9.4,False,2,121,Action,Easy
230,9229,10.61,False,19,164,Sports,Easy
231,9230,8.86,False,15,70,Strategy,Easy
232,9231,10.71,False,1,140,Action,Easy
233,9232,4.45,False,0,146,Strategy,Medium
234,9233,14.02,True,11,23,RPG,Easy
235,9234,12.41,True,11,87,Simulation,Easy
236,9235,15.97,False,4,76,Action,Easy
237,9236,4.38,False,3,68,Action,Easy
238,9237,2.13,True,2,71,Sports,Hard
239,9238,19.35,False,13,160,Sports,Easy
240,9239,21.7,False,15,101,RPG,Hard
241,9240,4.13,False,1,122,Sports,Hard
242,9241,9.98,True,12,61,Strategy,Easy
243,9242,17.4,False,1,26,Sports,Hard
244,9243,12.59,False,18,79,Sports,Easy
245,9244,13.61,False,10,65,Action,Easy
246,9245,8.21,False,10,63,Sports,Medium
247,9246,2.88,False,10,36,Action,Medium
248,9247,23.05,True,11,144,Strategy,Easy
249,9248,17.84,False,3,88,RPG,Hard
250,9249,7.7,True,2,159,RPG,Medium
251,9250,17.15,False,3,57,Action,Easy
252,9251,9.38,False,1,95,RPG,Medium
253,9252,4.68,False,0,75,Sports,Medium
254,9253,16.27,False,17,52,Simulation,Easy
255,9254,9.85,False,7,107,Simulation,Easy
256,9255,2.76,True,17,174,Simulation,Easy
257,9256,8.01,False,19,33,Simulation,Hard
258,9257,9.38,False,5,68,Sports,Hard
259,9258,9.29,True,9,42,Strategy,Easy
260,9259,13.72,False,15,165,Strategy,Easy
261,9260,10.48,True,12,10,RPG,Medium
262,9261,17.77,True,18,66,Sports,Medium
263,9262,14.95,False,17,65,RPG,Medium
264,9263,12.58,False,9,140,RPG,Easy
265,9264,18.29,False,11,56,Strategy,Hard
266,9265,22.36,False,4,28,Simulation,Medium
267,9266,5.39,True,6,104,Action,Easy
268,9267,18.98,False,17,14,Sports,Medium
269,9268,10.34,False,0,60,Simulation,Medium
270,9269,13.61,False,17,44,RPG,Medium
271,9270,19.72,False,17,57,Action,Medium
272,9271,13.34,True,0,121,Simulation,Easy
273,9272,4.37,False,2,93,Strategy,Medium
274,9273,23.46,False,0,146,Sports,Medium
275,9274,20.18,True,8,92,Strategy,Easy
276,9275,2.52,False,2,146,RPG,Easy
277,9276,4.11,True,2,14,RPG,Easy
278,9277,8.45,False,10,127,Simulation,Medium
279,9278,11.36,False,10,87,RPG,Easy
280,9279,3.9,False,0,24,Action,Easy
281,9280,10.77,True,1,145,Action,Hard
282,9281,10.72,False,5,158,RPG,Easy
283,9282,6.16,False,7,162,Simulation,Hard
284,9283,3.54,True,14,12,Action,Easy
285,9284,3.84,False,2,179,Sports,Easy
286,9285,19.94,True,10,101,Simulation,Easy
287,9286,19.09,False,8,87,Simulation,Easy
288,9287,0.47,False,7,146,Action,Easy
289,9288,5.21,True,6,59,RPG,Hard
290,9289,0.67,False,16,124,Strategy,Easy
291,9290,3.29,False,1,45,Sports,Medium
292,9291,1.86,False,4,20,Strategy,Hard
293,9292,18.3,False,12,56,Simulation,Hard
294,9293,8.55,False,16,71,Action,Hard
295,9294,16.82,False,2,44,RPG,Easy
296,9295,12.92,False,17,82,Simulation,Easy
297,9296,5.9,False,11,55,Sports,Easy
298,9297,11.93,True,12,79,Simulation,Easy
299,9298,5.57,False,11,107,Sports,Easy
